JEE Main %,JEE Advanced %,Mock Avg %,School Board,HSC %,Attempts,Coaching,Study Hour Bin,Family Income,Parent Education,Location Type,Peer Pressure Level,Mental Health,Admission,Dropout
90.25,69.0,46.58,State,73.91,1,FIITJEE,Medium,Low,Graduate,Urban,High,No,No,1
64.87,51.08,39.97,CBSE,79.22,1,Self Study,Very Low,High,HSC,Semi-Urban,High,No,Yes,0
91.62,49.06,60.36,State,73.75,1,Self Study,Low,Mid,HSC,Rural,Medium,No,No,0
75.14,79.12,69.97,ICSE,71.11,1,Local,Medium,High,SSLC,Rural,Low,Yes,No,0
91.49,61.11,62.6,CBSE,63.61,1,FIITJEE,Medium,Low,Graduate,Urban,High,Yes,Yes,0
37.17,100.0,79.0,ICSE,83.95,2,FIITJEE,High,Mid,SSLC,Urban,High,No,No,0
79.65,82.17,63.68,CBSE,84.27,2,Local,Medium,Mid,PG,Urban,Medium,No,Yes,0
75.25,92.8,59.92,State,75.28,1,Allen,Medium,Low,HSC,Semi-Urban,High,Yes,No,1
75.61,71.23,67.06,CBSE,52.8,1,Allen,Medium,High,SSLC,Semi-Urban,Medium,No,No,0
79.51,52.98,59.4,ICSE,88.52,1,FIITJEE,Low,High,Graduate,Rural,Medium,No,Yes,0
68.62,47.39,77.0,State,85.53,1,Self Study,High,High,SSLC,Semi-Urban,Medium,No,Yes,0
76.74,89.26,69.89,CBSE,72.43,2,Allen,Very High,Mid,PG,Rural,Low,Yes,No,0
67.0,88.33,76.05,ICSE,65.09,2,Self Study,Medium,High,SSLC,Semi-Urban,Low,No,Yes,0
58.64,70.44,58.84,ICSE,75.68,1,Local,Low,Low,PG,Urban,Low,Yes,No,1
65.22,81.88,84.32,State,66.92,1,Allen,Low,Mid,PG,Rural,Low,No,No,0
100.0,68.14,62.84,CBSE,71.85,1,Allen,Low,Low,Graduate,Rural,High,No,Yes,0
75.65,71.35,64.27,CBSE,73.57,2,Allen,Medium,High,HSC,Urban,High,No,No,0
69.94,58.03,67.2,State,66.46,2,Self Study,Medium,Mid,Graduate,Urban,Low,No,Yes,0
96.29,57.39,57.22,ICSE,88.7,2,Local,High,Low,Graduate,Urban,High,Yes,Yes,0
74.53,76.87,77.82,ICSE,73.99,2,Local,Medium,Mid,Graduate,Semi-Urban,Low,No,No,0
57.41,100.0,59.83,CBSE,67.12,2,Local,Low,Mid,Graduate,Rural,Medium,Yes,No,0
45.81,70.37,62.25,ICSE,100.0,1,Allen,Medium,High,PG,Urban,Low,Yes,Yes,0
88.43,63.95,59.44,CBSE,63.33,1,Local,Medium,Low,SSLC,Semi-Urban,High,No,Yes,0
51.5,38.88,73.2,CBSE,89.53,2,FIITJEE,High,Low,SSLC,Rural,High,Yes,Yes,0
41.22,28.98,69.23,State,70.91,1,Local,Low,Low,PG,Semi-Urban,Medium,Yes,Yes,1
66.07,72.74,69.72,ICSE,90.17,1,FIITJEE,Medium,Low,Graduate,Urban,Low,No,No,1
73.89,71.3,91.92,ICSE,65.13,2,Self Study,Low,Low,SSLC,Rural,Medium,Yes,No,1
58.2,93.27,78.99,State,72.68,2,FIITJEE,High,Low,Graduate,Urban,Low,Yes,No,1
65.99,79.19,63.83,State,83.18,1,Self Study,Low,High,PG,Urban,High,No,Yes,0
76.5,68.1,59.22,ICSE,73.99,1,Local,Very High,Low,SSLC,Urban,Medium,Yes,Yes,0
100.0,94.9,72.76,State,72.06,2,Allen,High,High,Graduate,Semi-Urban,Medium,No,No,0
74.35,78.95,64.18,State,79.81,1,Local,Medium,Mid,PG,Urban,Low,No,Yes,0
71.51,68.95,87.74,ICSE,85.93,2,FIITJEE,,Low,Graduate,Rural,Low,No,Yes,0
77.01,60.71,71.5,State,80.25,1,Self Study,Low,High,Graduate,Urban,Low,No,Yes,0
65.84,44.63,66.22,ICSE,54.56,2,Self Study,Medium,High,PG,Rural,High,No,Yes,0
88.58,48.95,64.55,State,72.24,1,FIITJEE,High,High,HSC,Semi-Urban,Medium,Yes,No,0
75.72,69.78,76.08,ICSE,75.37,1,FIITJEE,Very Low,Mid,HSC,Semi-Urban,Low,Yes,Yes,0
81.62,67.3,55.0,State,70.2,1,Self Study,High,High,PG,Rural,Low,No,No,0
78.21,39.97,62.77,CBSE,78.67,2,Allen,Low,Mid,HSC,Urban,High,No,Yes,0
62.64,65.44,71.71,CBSE,80.58,2,FIITJEE,Low,High,SSLC,Semi-Urban,Low,No,Yes,0
89.66,55.12,94.94,ICSE,77.38,2,FIITJEE,High,Low,Graduate,Semi-Urban,High,Yes,Yes,0
68.82,71.53,71.76,ICSE,77.2,1,Local,Medium,Mid,SSLC,Rural,Medium,Yes,No,0
85.8,42.25,41.24,ICSE,75.44,1,Allen,High,High,HSC,Rural,High,No,Yes,0
95.57,81.27,61.93,State,85.1,1,FIITJEE,High,High,SSLC,Urban,High,No,Yes,0
72.18,57.34,80.7,CBSE,93.34,1,Local,High,Mid,PG,Semi-Urban,Low,No,Yes,0
32.25,47.12,47.4,CBSE,93.54,2,Local,High,Low,HSC,Rural,High,No,Yes,0
70.66,63.43,56.48,CBSE,63.37,2,Allen,Medium,High,HSC,Urban,Low,No,Yes,0
63.5,54.43,85.42,ICSE,73.25,1,Allen,Very Low,Mid,SSLC,Rural,High,Yes,No,1
61.81,43.61,74.95,CBSE,80.9,2,Self Study,High,Mid,HSC,Urban,Medium,No,Yes,0
65.05,76.18,74.12,State,65.74,1,Allen,Medium,Low,SSLC,Urban,Medium,No,No,1
71.66,72.4,82.54,State,70.5,1,Allen,High,Low,SSLC,Semi-Urban,Low,No,Yes,0
91.23,27.84,82.83,ICSE,68.49,2,Allen,High,Mid,HSC,Rural,Low,Yes,Yes,0
69.38,64.3,58.43,State,72.72,1,Allen,Very High,High,PG,Urban,Medium,Yes,Yes,0
74.11,66.37,66.38,State,68.63,1,Local,Very High,Mid,HSC,Rural,Low,Yes,No,0
68.88,47.11,73.21,CBSE,75.68,2,FIITJEE,Medium,Mid,SSLC,Rural,High,No,Yes,0
61.84,71.87,67.12,CBSE,83.76,1,Allen,Low,High,PG,Semi-Urban,Medium,Yes,No,0
74.54,84.04,79.7,ICSE,73.42,1,Local,Low,High,PG,Rural,High,No,No,0
87.05,53.1,96.11,ICSE,71.04,2,Local,Very Low,High,HSC,Rural,Low,No,Yes,0
87.25,48.83,79.1,ICSE,75.55,2,Allen,Low,High,Graduate,Rural,Medium,No,Yes,0
57.61,72.99,66.69,State,77.48,1,Local,Low,Low,Graduate,Rural,Medium,No,No,1
81.19,47.92,82.55,CBSE,81.24,1,Local,Very Low,High,PG,Semi-Urban,High,No,No,1
74.49,46.28,53.04,State,91.06,2,Allen,Medium,Low,HSC,Urban,Medium,No,Yes,0
81.71,51.59,60.12,ICSE,85.11,1,Local,Medium,Mid,PG,Urban,Low,No,Yes,0
71.45,100.0,45.15,ICSE,82.58,1,Allen,High,Low,SSLC,Urban,Low,Yes,Yes,0
31.2,43.49,67.38,State,73.07,1,FIITJEE,High,High,PG,Semi-Urban,Medium,Yes,Yes,1
75.52,65.89,55.39,ICSE,75.94,2,FIITJEE,Very Low,Low,PG,Rural,Medium,No,No,1
65.99,61.47,50.86,CBSE,74.56,1,Self Study,Very High,High,SSLC,Urban,High,No,Yes,0
73.03,49.87,53.71,CBSE,79.57,1,Self Study,High,High,PG,Semi-Urban,Medium,No,No,0
56.51,59.91,52.74,State,67.85,1,Allen,Low,Low,HSC,Semi-Urban,High,No,No,1
50.78,85.65,51.96,CBSE,69.62,1,Local,Medium,Mid,Graduate,Rural,High,Yes,No,0
80.5,59.55,84.0,CBSE,83.31,2,FIITJEE,Medium,Mid,SSLC,Semi-Urban,Medium,No,No,0
79.98,84.64,56.27,CBSE,77.6,1,Allen,Very Low,Low,PG,Rural,High,No,Yes,1
81.7,65.81,97.82,State,73.44,1,Allen,Medium,Low,HSC,Semi-Urban,Low,No,No,1
68.91,72.96,75.5,CBSE,81.55,1,Local,Medium,High,HSC,Urban,Medium,No,No,0
41.04,34.68,73.2,CBSE,80.14,2,Self Study,Medium,Low,Graduate,Urban,Low,Yes,No,1
71.5,75.75,79.85,CBSE,87.46,1,FIITJEE,Medium,Low,PG,Semi-Urban,Low,Yes,No,1
85.44,44.38,44.0,State,77.9,2,Self Study,High,Mid,SSLC,Rural,Low,Yes,Yes,0
62.65,65.37,56.35,State,82.24,2,Self Study,High,High,SSLC,Urban,High,Yes,Yes,0
58.87,79.24,82.36,ICSE,67.28,2,Allen,Very Low,Mid,SSLC,Urban,High,No,Yes,1
63.44,79.95,50.83,ICSE,62.99,1,Local,Medium,High,PG,Urban,Low,No,Yes,0
56.56,90.01,60.92,ICSE,69.24,1,Local,Medium,High,HSC,Urban,Low,No,No,0
65.29,61.12,69.68,ICSE,80.44,1,FIITJEE,High,Mid,Graduate,Urban,Low,Yes,Yes,0
73.3,52.39,61.68,State,63.61,2,Self Study,Low,High,HSC,Rural,Low,Yes,Yes,0
54.88,76.08,84.19,State,72.93,1,Allen,Low,Mid,PG,Semi-Urban,High,No,Yes,0
77.06,47.14,62.71,ICSE,76.94,2,Allen,Low,High,Graduate,Rural,Medium,Yes,Yes,0
70.39,76.59,70.55,State,71.73,2,Allen,Low,High,HSC,Semi-Urban,Medium,Yes,Yes,0
75.37,48.43,46.25,State,75.79,2,Local,Medium,Mid,HSC,Urban,High,Yes,No,0
77.96,45.31,67.45,State,72.97,2,Allen,Medium,Low,PG,Urban,Medium,No,Yes,0
87.96,70.79,62.62,State,88.82,2,Allen,High,Low,PG,Urban,High,No,No,1
95.18,66.17,73.79,State,62.81,2,Allen,Medium,Low,HSC,Semi-Urban,Low,No,No,1
48.96,41.48,96.32,CBSE,75.44,1,Local,Low,Mid,PG,Semi-Urban,High,Yes,No,1
84.36,46.38,73.73,State,69.85,2,Local,Medium,Mid,PG,Rural,Medium,No,Yes,0
62.09,76.04,72.2,CBSE,82.31,1,FIITJEE,High,Mid,PG,Rural,High,Yes,Yes,0
80.62,78.81,67.87,CBSE,79.78,2,Self Study,High,Low,SSLC,Semi-Urban,High,Yes,Yes,0
80.03,68.52,34.16,ICSE,65.58,1,FIITJEE,High,Mid,PG,Semi-Urban,Medium,No,Yes,0
71.36,42.19,60.18,State,81.34,2,Allen,Medium,Low,HSC,Semi-Urban,Medium,Yes,No,1
60.35,73.61,84.91,State,66.07,1,FIITJEE,Medium,Mid,Graduate,Urban,High,Yes,No,0
63.22,69.28,77.54,ICSE,57.23,1,Allen,Medium,Mid,PG,Rural,High,Yes,No,0
40.54,55.43,58.44,State,92.66,2,Local,High,Low,Graduate,Rural,Medium,No,Yes,0
51.2,76.95,63.93,State,86.75,1,Self Study,Low,Low,Graduate,Semi-Urban,High,No,No,1
75.11,57.35,60.67,State,69.11,1,FIITJEE,Medium,High,HSC,Urban,Medium,No,Yes,0
77.9,75.12,48.59,CBSE,62.64,1,Allen,High,Low,SSLC,Urban,High,Yes,No,1
74.01,62.3,68.56,ICSE,80.72,1,FIITJEE,Low,Low,SSLC,Urban,Low,Yes,Yes,0
60.75,62.45,66.87,CBSE,79.4,1,Self Study,Medium,High,Graduate,Rural,Medium,Yes,No,0
88.23,55.93,82.36,CBSE,63.08,2,Self Study,Very Low,High,HSC,Urban,High,Yes,Yes,1
100.0,64.42,72.83,ICSE,58.99,2,FIITJEE,Low,High,Graduate,Urban,High,Yes,Yes,0
75.6,67.01,78.88,ICSE,83.11,2,Local,High,Mid,HSC,Rural,Medium,Yes,No,0
71.3,77.66,68.0,CBSE,73.91,1,Local,Medium,Mid,PG,Rural,Medium,Yes,Yes,0
72.57,91.31,67.44,CBSE,70.89,2,Self Study,High,Mid,HSC,Semi-Urban,High,No,Yes,0
57.17,43.49,65.29,CBSE,77.8,1,Self Study,Medium,Low,HSC,Rural,High,Yes,Yes,0
84.07,55.25,64.39,State,68.34,2,Self Study,Medium,Mid,SSLC,Urban,Low,No,Yes,0
77.05,78.82,69.29,ICSE,74.97,2,Allen,Very High,Low,Graduate,Urban,Low,No,No,1
80.94,53.81,75.89,State,69.09,2,FIITJEE,Medium,Mid,PG,Semi-Urban,Medium,Yes,No,0
76.57,58.37,75.06,CBSE,90.75,2,Self Study,Low,Mid,HSC,Rural,Low,Yes,Yes,0
73.37,58.18,51.57,ICSE,90.6,2,Allen,Medium,Low,Graduate,Urban,Low,No,Yes,0
80.08,98.57,72.25,State,66.5,1,FIITJEE,Medium,Low,Graduate,Urban,Low,No,Yes,0
85.12,86.3,90.65,State,80.89,2,Allen,Medium,Mid,SSLC,Semi-Urban,Medium,Yes,Yes,0
97.88,66.04,72.24,State,82.98,1,Local,,Low,HSC,Urban,Low,Yes,Yes,0
92.16,68.01,65.96,ICSE,78.86,2,Allen,Medium,Low,HSC,Rural,Medium,Yes,Yes,0
76.74,96.4,54.94,ICSE,75.5,2,Allen,,Mid,SSLC,Semi-Urban,Low,Yes,Yes,0
74.87,69.47,57.65,CBSE,79.85,2,Self Study,Low,High,SSLC,Rural,Medium,No,No,0
71.48,67.5,71.96,CBSE,81.94,1,Local,Very Low,Low,Graduate,Semi-Urban,Medium,No,Yes,0
89.22,95.47,57.21,CBSE,75.0,1,FIITJEE,High,Mid,SSLC,Urban,Medium,No,No,0
70.68,64.34,73.42,State,61.23,1,Self Study,Medium,Mid,SSLC,Urban,Medium,No,No,0
77.18,47.83,50.19,CBSE,76.86,1,Self Study,High,Low,SSLC,Semi-Urban,High,No,Yes,0
67.79,37.89,78.47,ICSE,80.68,1,Allen,Low,High,Graduate,Urban,Medium,Yes,No,0
82.65,50.21,64.45,State,68.52,1,Allen,Medium,Mid,Graduate,Semi-Urban,Medium,Yes,Yes,0
62.1,27.66,71.17,CBSE,69.3,1,Local,Medium,Mid,Graduate,Urban,Medium,Yes,Yes,0
76.78,87.62,53.25,State,62.82,1,Local,Medium,High,SSLC,Semi-Urban,Medium,No,No,0
81.78,56.41,63.4,ICSE,87.9,2,Self Study,Medium,High,HSC,Urban,Low,Yes,Yes,0
59.35,81.5,77.71,CBSE,77.69,1,FIITJEE,High,High,HSC,Semi-Urban,High,No,Yes,0
71.92,81.02,79.08,CBSE,82.88,2,FIITJEE,Medium,Low,SSLC,Semi-Urban,High,Yes,Yes,0
78.49,63.75,86.05,CBSE,86.95,1,Allen,Very Low,Mid,HSC,Urban,High,No,No,1
88.67,70.9,82.71,CBSE,90.64,2,FIITJEE,High,High,HSC,Urban,Low,Yes,Yes,0
86.43,46.53,54.75,ICSE,64.91,2,FIITJEE,Medium,High,HSC,Rural,Medium,Yes,Yes,0
72.27,63.05,71.76,State,85.03,2,Allen,Medium,Mid,HSC,Semi-Urban,Low,Yes,No,0
56.71,66.9,68.66,ICSE,79.3,2,Allen,Low,Mid,HSC,Rural,Medium,No,Yes,0
86.63,61.2,79.27,State,69.74,1,Allen,Medium,Mid,HSC,Rural,Low,No,Yes,0
66.75,41.68,83.68,ICSE,87.67,1,Allen,Very Low,High,Graduate,Rural,Medium,Yes,Yes,0
64.78,62.19,74.15,ICSE,70.01,2,Local,Medium,Mid,SSLC,Semi-Urban,Low,No,No,0
60.51,66.26,66.78,ICSE,66.81,2,Allen,Medium,Low,Graduate,Rural,Medium,Yes,No,1
79.07,78.01,62.26,State,80.02,1,Allen,Medium,Mid,Graduate,Urban,Medium,Yes,No,0
49.49,70.66,60.66,CBSE,63.3,1,Self Study,Medium,High,Graduate,Semi-Urban,Medium,Yes,Yes,0
100.0,48.17,68.62,CBSE,73.37,2,Allen,Low,Low,Graduate,Urban,High,Yes,Yes,0
66.24,70.5,79.29,CBSE,57.69,2,Self Study,Medium,Mid,Graduate,Rural,Low,Yes,No,0
87.02,81.17,85.74,State,67.93,2,Local,High,High,HSC,Rural,High,Yes,No,0
62.13,49.94,62.48,ICSE,74.66,1,Local,High,High,PG,Urban,High,Yes,No,0
79.33,64.78,75.53,State,70.89,1,Local,Low,Low,Graduate,Semi-Urban,High,No,No,1
51.73,67.65,54.01,State,72.26,2,Allen,Medium,High,PG,Urban,Low,No,Yes,0
76.23,52.91,50.19,CBSE,73.49,2,Local,Low,Mid,SSLC,Urban,Medium,Yes,Yes,0
76.46,53.39,59.06,State,80.95,1,FIITJEE,High,Mid,Graduate,Rural,Medium,No,Yes,0
64.45,60.77,54.56,CBSE,98.39,1,Local,Very Low,High,Graduate,Semi-Urban,High,Yes,Yes,1
93.05,53.25,87.98,ICSE,56.74,2,Local,Low,Low,PG,Urban,High,Yes,No,1
77.81,77.35,49.41,CBSE,71.75,2,Local,Medium,Mid,Graduate,Semi-Urban,High,Yes,Yes,0
59.57,61.98,69.51,State,66.78,2,Local,Low,High,PG,Rural,Low,No,No,0
88.1,55.99,66.87,State,61.61,1,Allen,High,High,SSLC,Semi-Urban,Medium,No,No,0
80.34,45.79,76.24,ICSE,73.13,1,Allen,Very Low,Low,SSLC,Urban,Medium,No,No,1
72.95,56.54,98.1,ICSE,76.75,2,Allen,Low,Mid,HSC,Semi-Urban,Low,Yes,No,0
70.27,67.3,58.53,State,69.01,2,Local,Medium,Mid,HSC,Semi-Urban,Medium,No,Yes,0
76.68,92.45,86.51,CBSE,64.08,1,Allen,Very Low,High,Graduate,Rural,High,No,Yes,1
73.15,46.95,46.74,State,85.96,2,Allen,Low,Mid,SSLC,Urban,Medium,No,Yes,0
62.03,69.67,72.54,State,88.28,1,Allen,Very High,Low,PG,Semi-Urban,Medium,Yes,No,1
47.23,53.48,55.15,CBSE,88.05,1,Allen,Medium,Low,HSC,Rural,Medium,No,No,1
73.3,82.87,66.54,State,75.76,2,Local,Medium,Mid,SSLC,Semi-Urban,Low,No,No,0
63.08,75.8,65.54,CBSE,73.63,1,Self Study,Medium,Low,HSC,Urban,High,No,Yes,0
89.68,87.14,82.49,CBSE,76.47,2,FIITJEE,Low,High,PG,Urban,Medium,No,Yes,0
59.17,42.91,56.86,State,73.38,1,FIITJEE,Medium,Mid,HSC,Rural,Medium,Yes,Yes,0
50.02,45.15,70.6,State,72.11,1,Local,Low,High,PG,Rural,Low,Yes,Yes,0
84.49,64.95,65.83,State,79.12,2,FIITJEE,Medium,Mid,Graduate,Rural,Low,No,No,0
94.3,93.45,82.38,ICSE,84.83,1,Allen,High,Mid,Graduate,Urban,High,Yes,Yes,0
75.77,86.8,77.45,ICSE,63.05,2,Allen,Medium,Mid,SSLC,Urban,Low,Yes,Yes,0
61.93,53.81,68.67,CBSE,78.28,1,FIITJEE,High,Mid,HSC,Rural,Medium,Yes,Yes,0
77.1,47.21,64.2,State,64.71,1,FIITJEE,Low,High,SSLC,Rural,Low,No,No,0
58.69,72.41,57.55,CBSE,82.33,1,Local,Medium,High,PG,Rural,Low,No,Yes,0
82.63,51.86,78.73,ICSE,77.97,2,Self Study,Medium,Mid,SSLC,Urban,Low,Yes,No,0
67.31,53.83,79.73,State,76.75,2,Local,High,Low,SSLC,Semi-Urban,High,Yes,No,1
100.0,41.24,74.54,CBSE,74.26,2,Self Study,Medium,Mid,Graduate,Urban,Medium,Yes,No,0
68.79,69.44,67.63,State,77.46,2,Self Study,Medium,Mid,SSLC,Urban,High,No,No,0
81.95,70.87,52.59,ICSE,73.39,2,Self Study,High,Mid,HSC,Rural,Medium,Yes,No,0
67.42,86.27,58.09,State,92.89,2,Allen,Low,Mid,SSLC,Semi-Urban,High,No,No,0
63.58,46.22,77.88,CBSE,75.63,1,Local,Very Low,Mid,PG,Semi-Urban,Low,No,No,0
89.09,60.43,83.8,State,88.6,1,Local,Medium,Low,PG,Semi-Urban,Low,No,Yes,0
75.25,72.73,41.29,State,79.27,2,Local,Medium,High,PG,Semi-Urban,High,No,Yes,0
54.39,64.18,66.97,CBSE,75.32,2,Local,High,High,Graduate,Semi-Urban,Low,Yes,Yes,0
47.64,100.0,80.09,State,94.37,2,Self Study,Low,Low,HSC,Urban,High,Yes,No,1
67.49,77.66,46.0,State,64.68,1,Allen,High,Low,HSC,Rural,High,No,No,1
76.44,67.68,74.29,State,87.6,1,Local,Low,Low,Graduate,Urban,Low,Yes,No,1
82.42,62.73,79.32,CBSE,81.7,1,Local,High,High,PG,Urban,Low,No,Yes,0
49.57,92.68,69.02,State,74.93,2,Local,Medium,Low,HSC,Rural,Low,Yes,No,1
81.92,83.18,56.64,CBSE,77.44,2,FIITJEE,Medium,High,PG,Rural,Medium,No,No,0
38.92,36.56,68.15,CBSE,71.77,2,Self Study,Medium,High,SSLC,Rural,Low,Yes,Yes,1
57.05,41.5,69.45,ICSE,77.81,2,Local,Very High,Low,PG,Semi-Urban,High,Yes,No,1
55.89,70.69,58.44,ICSE,63.55,1,FIITJEE,Medium,High,HSC,Urban,High,No,No,0
43.3,78.63,86.34,ICSE,94.33,2,Self Study,Medium,Low,SSLC,Rural,Low,No,Yes,0
70.06,58.75,64.33,State,78.0,1,FIITJEE,Medium,Mid,SSLC,Urban,Low,Yes,No,0
